flood,severity,location lat,location long,source,rainfall mm,river level m,wind speed kmh,temperature c,humidity percent,soil moisture percent,urban area,drainage index,available ambulance,available rescue teams,available medical kits,nearest hospital distance km,evacuation centres open
Yes,Moderate,24.72825,77.627914,Satellite,118.92,12.41,15.02,28.02,92.17,39.02,0,0.927,9,10,58,39.47,2
No,High,28.792151,85.493368,Local Authority,421.74,1.15,111.6,16.05,20.5,23.35,1,0.915,10,8,86,35.11,3
Yes,Low,17.423371,91.182312,Local Authority,135.24,11.36,16.2,27.32,41.99,44.74,0,0.649,14,6,146,28.39,3
No,Low,33.203104,78.854008,NGO Report,230.38,3.05,83.79,18.06,24.38,13.78,1,0.811,15,13,48,8.94,4
No,Low,24.917251,82.567452,Citizen Report,373.07,5.31,27.59,31.36,23.28,72.59,0,0.892,11,13,118,19.07,9
No,Moderate,15.645219,91.8528,Local Authority,377.87,7.4,123.08,40.63,99.84,59.58,1,0.718,1,10,194,11.32,0
No,Moderate,22.721914,90.752916,Satellite,168.38,12.49,74.95,30.08,53.79,75.98,1,0.046,1,9,194,11.7,9
No,Moderate,18.126182,84.53771,Citizen Report,257.58,13.55,140.13,21.32,69.9,68.88,1,0.646,12,6,18,45.97,9
Yes,Severe,24.531849,91.469045,NGO Report,399.44,9.15,92.99,27.93,64.7,19.84,1,0.111,12,10,152,44.39,3
Yes,Severe,10.023046,85.663176,Citizen Report,446.75,9.66,68.72,36.6,86.28,42.2,0,0.514,18,2,84,24.53,8
No,Extreme,19.735092,75.833405,NGO Report,29.05,14.49,87.86,31.71,56.54,60.25,1,0.63,12,7,14,48.99,0
No,High,21.637534,89.355297,NGO Report,109.33,14.89,47.31,43.5,60.35,95.01,1,0.098,7,2,142,44.07,7
Yes,High,32.696901,69.523457,Satellite,309.91,12.76,127.25,43.91,50.07,30.8,1,0.153,11,15,189,34.9,3
No,Extreme,23.390339,69.453332,Citizen Report,89.66,2.45,128.92,34.16,49.48,96.14,0,0.946,8,0,63,0.98,6
Yes,High,33.402662,74.953461,Local Authority,400.01,10.04,126.45,33.05,63.81,14.63,1,0.612,16,6,191,0.94,5
Yes,High,15.907249,92.818208,NGO Report,448.79,7.78,78.18,12.25,97.13,53.15,0,0.88,13,1,61,48.78,10
Yes,Moderate,9.561957,77.47578,IMD,478.28,9.84,125.92,10.72,78.03,46.72,0,0.342,6,10,47,4.63,0
No,Extreme,10.268994,77.426646,NGO Report,42.17,7.63,66.01,20.73,34.97,39.53,0,0.804,13,6,14,44.31,2
No,Moderate,34.991816,93.074949,Citizen Report,106.89,13.26,22.8,11.74,69.92,85.47,1,0.27,19,15,171,19.74,0
No,High,19.766828,89.232429,Citizen Report,187.83,10.37,106.06,20.03,24.32,75.6,0,0.2,18,11,156,1.23,2
No,Low,11.228932,80.26626,Satellite,318.77,9.46,56.78,25.97,90.37,18.29,1,0.064,10,4,176,32.11,5
No,Extreme,21.982859,81.043797,Local Authority,189.07,10.24,130.39,13.64,42.66,26.04,1,0.087,3,10,50,17.67,1
No,Extreme,11.665682,90.992107,NGO Report,79.36,13.74,22.8,30.55,47.02,82.31,0,0.59,3,2,135,35.68,0
Yes,High,12.914979,74.500911,IMD,270.84,2.18,92.1,19.26,89.97,24.43,0,0.961,20,3,119,43.36,10
No,Moderate,36.271009,90.249644,NGO Report,159.18,0.79,49.53,13.85,70.81,83.69,1,0.909,12,14,31,28.2,1
No,High,8.581174,82.579349,Satellite,89.99,9.6,42.3,23.42,32.16,45.48,1,0.859,15,11,110,46.62,6
No,Low,11.773674,95.746135,IMD,30.94,9.81,78.45,32.44,73.69,86.57,1,0.344,5,7,122,19.16,1
No,Extreme,18.873077,78.036382,NGO Report,226.61,9.77,31.18,29.11,91.66,36.5,0,0.971,6,11,190,32.36,2
No,Moderate,17.056694,78.795739,Satellite,266.83,8.42,32.27,33.64,34.01,22.06,0,0.876,7,10,108,24.95,9
No,Severe,36.609011,96.092246,Local Authority,485.77,8.15,7.42,21.93,71.71,61.04,1,0.677,3,3,156,20.05,3
Yes,Moderate,8.084605,84.797387,Satellite,110.49,4.84,68.07,15.31,95.68,13.36,0,0.047,17,14,93,4.5,1
No,Moderate,9.621783,92.222575,Satellite,50.78,3.56,52.14,29,67.35,73.51,1,0.874,10,9,45,36.63,5
No,High,33.377227,68.153679,Satellite,48.92,12.42,33.56,38.85,90.37,83.89,1,0.892,8,5,198,18.07,1
No,High,24.525375,95.842009,Local Authority,179.96,1.69,56.53,36.44,79.14,23.79,1,0.717,0,10,153,4.93,2
No,High,10.780929,73.024748,NGO Report,3.59,2.42,146.86,25.98,52.37,95.27,0,0.564,14,13,169,2.62,7
No,Extreme,10.431803,68.005761,Satellite,313.34,4.86,0.83,41.07,80.42,53.63,1,0.292,7,2,16,2.57,7
Yes,Moderate,18.641483,69.199473,NGO Report,362.99,12.43,44.65,28.05,65.78,67.03,1,0.47,11,14,22,12.83,3
Yes,Low,18.006587,89.220359,NGO Report,168.02,4.46,121.01,39.35,60.87,37.47,0,0.209,17,7,129,48.94,9
Yes,High,33.412117,82.610803,NGO Report,133.58,8.73,6.82,33.01,37.83,24.46,1,0.402,6,15,101,10.36,6
No,Moderate,15.671984,90.258305,Satellite,220.85,11.42,12.21,15.83,74.78,36.97,0,0.231,2,7,57,42.76,4
Yes,Moderate,15.558176,96.750676,Citizen Report,386.27,7.83,91.72,10.7,49.77,51.63,0,0.245,6,2,109,28.46,0
No,Extreme,18.594732,83.39755,Citizen Report,114.71,3.23,71.93,44.62,79.59,47.9,1,0.657,5,7,61,44.7,0
No,High,21.269509,81.464113,Satellite,38.68,6.56,6.54,27.95,89.03,75.39,0,0.108,15,10,162,10.68,3
Yes,Moderate,28.358486,82.520454,NGO Report,10.68,9.75,128.1,20.09,27.68,47.82,0,0.381,7,3,101,18.8,3
Yes,High,17.891997,77.474992,Citizen Report,53.64,1.06,134.73,24.24,72.01,88.53,0,0.373,11,13,92,6.28,4
No,Low,21.021183,96.801262,Citizen Report,429.89,12.69,137.34,30.67,56.68,22.44,0,0.549,18,4,132,9.8,4
Yes,Severe,26.70585,93.919198,Satellite,469.65,3.06,1.47,36.49,61.74,51.91,0,0.023,0,1,122,34.53,5
Yes,Severe,23.856709,89.570662,Citizen Report,283.89,4.13,110.5,42.41,95.55,95.7,1,0.047,10,14,169,23.76,4
No,High,21.99958,95.029451,Citizen Report,492.16,9.52,4.47,11.94,73.83,89.84,1,0.137,14,12,131,17.76,4
No,Extreme,9.001646,90.144627,NGO Report,234.35,0.26,48.61,35.77,95.31,37.38,0,0.75,4,13,174,44.92,2
No,High,32.37951,83.731507,IMD,484.86,11.21,33.37,29.65,68.71,75.89,0,0.449,4,12,198,4.42,1
No,Low,34.342859,77.100686,Citizen Report,231.05,12.31,23.02,16.3,38.03,81.87,0,0.403,13,15,125,2.37,1
Yes,Severe,23.513777,85.238921,IMD,87.97,5.16,10.08,35.96,75.92,55.4,0,0.44,20,13,74,42.39,9
Yes,Severe,10.733278,84.323092,Citizen Report,176.67,6.23,85.81,13.57,56.79,26.52,0,0.941,15,12,31,1.85,4
No,Extreme,35.184922,78.504207,Satellite,444.45,8.34,107.19,35.66,85.89,40.01,0,0.876,19,0,75,19.43,0
Yes,Moderate,15.539564,80.152083,Satellite,424.31,5.35,50.53,23.32,33.97,45.71,1,0.458,2,10,179,42.35,0
No,Severe,32.78452,74.029348,IMD,485.88,3.3,0.5,28.72,84.1,56.57,0,0.074,2,7,45,48.8,8
No,Extreme,17.181294,90.527626,Local Authority,321.44,11.49,119.27,14.83,77.4,31.87,0,0.044,17,13,162,22.83,9
No,Severe,33.114629,80.100874,Local Authority,378.38,2.63,53.58,28.83,49.88,55.77,0,0.4,2,11,153,37.68,5
No,Extreme,25.354805,95.347342,Satellite,29.26,5.63,120.32,40.24,82.7,17.04,1,0.719,13,0,23,40.1,3
Yes,Severe,24.659251,77.052614,IMD,26.72,13.42,117.41,35.01,35.45,52.57,0,0.825,16,8,63,19.27,9
No,Severe,23.380701,94.622775,Local Authority,241.05,6.51,126.09,42.9,75.02,63.55,1,0.218,14,5,82,22.9,6
Yes,High,12.787098,75.604942,Citizen Report,401.66,14.1,40.04,22.82,91.76,25.75,1,0.968,18,7,70,15.84,3
Yes,Severe,8.440905,80.451105,Citizen Report,92.82,13.52,97.1,29.17,57.46,75.01,0,0.825,0,5,98,7.37,6
Yes,High,17.431421,75.31736,IMD,369.95,10.47,147.33,18.97,21.88,37.14,0,0.253,7,14,88,3.83,10
Yes,High,23.221561,74.683436,Citizen Report,227.74,2.97,137.96,27.78,80.6,64.84,1,0.349,9,7,132,44,3
Yes,High,21.105544,70.085644,Citizen Report,81.57,2.52,64.61,11.9,28.09,70.49,1,0.368,10,15,10,27.99,10
Yes,Extreme,24.554927,79.909083,Satellite,56.17,0.99,80.37,32.12,94.34,84.26,1,0.186,18,5,186,19.72,5
No,Extreme,10.412617,92.463811,Satellite,306.8,7.63,20.6,15.42,31.84,22.64,0,0.663,1,7,59,4.57,5
Yes,High,18.659101,81.404927,Local Authority,259.23,6.67,83.74,15.65,80.98,39.23,1,0.652,17,11,170,47.82,9
No,High,19.244711,92.464593,NGO Report,317.91,12.58,12.76,39.91,37.08,77.88,0,0.253,1,3,167,7.47,2
Yes,Moderate,19.273776,73.077833,NGO Report,386.07,12.53,81.34,33.63,44.89,48.84,1,0.175,10,15,114,34,9
Yes,Low,36.491395,84.879211,Citizen Report,481.3,6.99,43.04,37.69,83.5,74.16,0,0.315,1,4,43,3.06,6
Yes,High,21.254817,94.47853,IMD,451.33,3.82,147.5,30.63,83.3,72.06,0,0.163,4,4,142,47.13,1
No,High,27.312277,87.688368,Citizen Report,11.31,12.88,72.27,34.7,81.57,73.48,1,0.001,19,10,3,49.01,7
No,Moderate,9.371567,71.941721,IMD,322.3,12.68,2.44,18.27,65.79,93.95,1,0.907,6,12,72,43.75,8
Yes,High,32.909444,73.090713,Satellite,311.74,13.4,135.87,11.56,98.46,76.33,1,0.359,15,11,95,28.83,9
No,Moderate,26.428082,73.506506,NGO Report,146.66,7.72,130.41,37.6,82.72,15.89,1,0.1,17,12,177,35.72,3
No,Moderate,15.332387,84.361018,Satellite,406.88,6.94,3.28,41.3,21.25,50.56,0,0.88,18,6,90,3.37,4
Yes,Extreme,27.784628,92.436098,IMD,321.98,12.14,66.71,30.09,37.57,13.15,1,0.345,16,10,22,2.79,3
Yes,Moderate,23.15105,93.542569,NGO Report,449.45,10.6,140.12,35.01,20.27,77.08,1,0.414,0,2,158,29.56,6
Yes,Extreme,28.290623,90.098679,Citizen Report,208.94,14.88,50.92,26.57,26.5,18.58,0,0.209,14,3,8,4.07,3
No,Low,19.050509,89.256287,Satellite,319.7,14.98,28.66,19.87,55.63,73.2,1,0.868,9,8,54,48.73,7
Yes,Low,24.816265,94.38327,Citizen Report,273.51,3.5,40.57,30.92,21.61,57.45,0,0.797,10,10,31,43.02,2
No,Low,14.508785,87.384908,Local Authority,351.71,8.68,98.69,14.33,59.57,82.25,1,0.019,13,4,157,21.14,9
No,Moderate,15.372223,93.299717,Local Authority,2.66,9.03,138.21,22.93,50.94,44,1,0.033,13,0,169,28.24,7
Yes,High,8.100421,95.213414,Citizen Report,289.39,3.96,18.87,44.88,96.96,98.51,0,0.304,20,6,113,29.31,6
Yes,High,24.055769,68.635992,Local Authority,207.35,10.91,116.68,24.08,72.18,62.38,0,0.927,11,5,63,29.72,5
No,Extreme,21.406517,86.399863,Satellite,209.3,13.58,137.71,17.17,34.94,27.05,0,0.248,17,7,113,5.51,0
Yes,Low,22.875894,91.615942,Local Authority,42.29,13.8,91.12,17.01,88.97,94.04,1,0.887,19,8,77,45.5,10
No,Low,24.467885,94.100601,Local Authority,80.78,13.01,56.33,35.71,78.79,21.4,0,0.968,19,6,107,28.56,5
No,Low,34.763873,91.198756,NGO Report,81.34,6.64,149.1,38.2,78.29,85.4,1,0.766,3,10,99,15.42,4
Yes,Extreme,8.407139,78.001225,IMD,387.38,9.44,15.64,17.93,36.2,43.57,1,0.963,8,9,185,7.66,4
Yes,Moderate,9.930683,82.004621,Satellite,402.34,3.48,39.13,28.32,81.84,52.45,0,0.541,16,12,135,17.22,3
Yes,Low,33.739316,78.698342,IMD,163.59,11.52,47.35,17.54,30.46,21.83,0,0.286,3,9,36,31.54,8
No,High,32.014655,73.799745,NGO Report,362.13,8.53,118.42,12.93,49.23,71.84,1,0.963,8,5,132,18.9,8
No,Severe,35.233155,91.363386,NGO Report,430.33,6.43,29.85,19.46,52.82,62.46,0,0.135,8,7,4,44.84,9
Yes,Low,26.183968,79.056772,NGO Report,20.29,3.03,128.53,28.56,64.19,47.78,1,0.11,20,5,83,5.1,6
Yes,Extreme,26.047893,89.445234,NGO Report,219.81,8.2,8.99,16.2,93.2,53.3,0,0.683,3,14,196,16,5
Yes,Extreme,22.959347,79.773613,Citizen Report,160.5,14.09,4.58,34.91,46.03,68.81,0,0.735,8,13,166,10.2,5
No,Low,17.752306,86.205475,IMD,32.66,5.83,124.23,33.61,42.6,24.8,0,0.967,8,8,21,20.59,7
Yes,Moderate,33.8352,96.570803,Citizen Report,240.83,12.09,24.35,35.31,82.81,70.46,1,0.924,20,4,194,4.66,7
Yes,Moderate,18.024393,75.385938,NGO Report,473.52,0.92,63.91,34.13,21.11,28.42,0,0.606,5,0,188,38.41,1
No,Extreme,24.581969,90.943468,Local Authority,147.56,10.67,111.66,14.47,32.17,76.77,1,0.119,17,1,90,39.88,7
Yes,Extreme,34.637552,79.863542,Local Authority,444.18,7.8,8.94,32.7,71.98,23.2,1,0.67,2,7,50,2.3,6
Yes,Moderate,11.689189,74.905546,Satellite,216.3,5.65,0.51,40.04,33.96,26.48,1,0.198,6,10,45,15.02,1
No,Extreme,24.712459,76.842831,Citizen Report,453.39,9.48,13.53,29.84,50.07,27.16,0,0.327,15,2,99,25.67,6
No,Moderate,25.963431,88.783831,Citizen Report,459.34,10.42,16.95,20.59,85.14,70.13,0,0.125,20,3,96,48.15,1
Yes,Extreme,15.188753,88.885538,Local Authority,33.77,14.63,8.46,43.86,64.95,43.62,1,0.73,14,12,14,6.46,2
No,Severe,26.185557,71.643915,Citizen Report,325,12.39,93.08,35.94,30.44,63.11,1,0.187,18,7,5,8.5,8
Yes,High,14.120711,88.836829,NGO Report,119.57,11.73,139.54,32.57,76.18,21.48,0,0.408,16,10,187,43.21,2
No,Moderate,25.851583,83.790431,NGO Report,319.62,8.37,141.17,33.82,85.19,32.08,1,0.227,20,3,83,11.89,6
Yes,Severe,10.417031,91.917015,IMD,411.4,12.39,89.32,11.15,45.7,78.42,1,0.562,11,7,178,10.9,4
No,Low,31.122315,79.276683,NGO Report,164.72,0.52,56.56,19.42,30.42,82.26,0,0.816,17,6,147,19.56,3
No,Low,16.033988,70.788192,Satellite,410.28,4.39,1.62,28.28,48.34,58.92,1,0.923,0,10,43,29.39,1
No,Severe,22.35248,74.993984,NGO Report,39,9.15,124.92,17.95,93.68,12.33,0,0.026,2,4,141,24.62,0
Yes,Extreme,34.285363,93.460319,NGO Report,9.86,0.84,148.42,20.66,44.54,46.77,0,0.117,12,7,197,24.87,7
No,Severe,31.261133,79.304732,Satellite,488.49,2.75,38.59,11.5,55.36,47.36,0,0.075,10,2,24,41.65,5
Yes,High,34.132838,95.569596,Local Authority,131.42,2.52,25.45,14.72,93.96,75.74,0,0.074,14,8,20,20.3,10
Yes,Low,36.340503,70.007117,Citizen Report,243.67,4.84,140.15,21.37,99.77,14.15,1,0.678,8,1,53,12.73,0
Yes,Extreme,21.492665,87.862363,NGO Report,471.48,13.71,8.65,39.71,48.4,32.58,0,0.669,12,9,120,18.89,7
No,Moderate,25.942694,79.98196,Satellite,374.58,14.86,54.4,34.52,79.86,25.01,0,0.32,2,13,196,48.48,3
No,Moderate,8.905691,81.495424,IMD,427.08,1.2,5.44,21.1,74,35.7,0,0.615,8,14,146,15.14,4
Yes,High,36.667085,79.123367,NGO Report,363.31,6.64,82.44,44.35,88.62,35.21,1,0.933,17,14,29,20.55,3
No,Extreme,12.462182,69.94447,Local Authority,384.37,2.35,67.78,21.14,57.3,17.73,0,0.581,11,0,24,38.97,6
Yes,Extreme,28.958366,82.353798,IMD,451.82,6.62,90.03,30.79,54.96,41.11,1,0.865,3,3,44,22.32,9
Yes,High,17.561091,73.133647,Citizen Report,160.37,11.8,108.37,35.44,24.47,38.61,1,0.196,14,1,200,0.62,6
No,Extreme,31.082382,80.521462,NGO Report,314.31,3.12,43.83,24.97,86.27,22.63,1,0.884,1,12,140,3.35,0
Yes,Extreme,9.901714,86.451388,IMD,37.82,11.47,132.65,16.58,27.81,64.41,1,0.35,3,9,140,45.42,9
Yes,Extreme,35.108652,77.712379,NGO Report,368.41,2.94,92.67,17.22,27.05,42.93,0,0.234,8,0,34,44.25,0
No,Low,21.520665,82.166497,Citizen Report,321.52,8.11,101.78,40.66,66.86,74.03,1,0.327,2,2,52,7.15,10
No,Moderate,25.298008,83.263124,Citizen Report,472.83,10.08,59.14,23.05,59.86,85.16,1,0.219,19,0,151,25.76,3
No,Moderate,25.911493,93.965412,Citizen Report,34.68,1.29,31.92,25.98,74.03,55.8,0,0.387,1,6,93,16.6,2
No,High,33.619861,72.092793,NGO Report,97.84,0.47,51.57,44.57,35.53,87.08,1,0.003,0,2,2,39.96,7
No,High,19.576215,79.045097,Local Authority,240.69,14.51,11.44,44.53,51.34,78.3,0,0.288,9,10,93,22.49,5
Yes,Severe,8.92772,75.893072,Local Authority,187.67,9.07,76.27,43.01,93.2,42.83,0,0.983,14,13,45,30.64,6
No,Low,31.87703,95.036051,Satellite,209.3,14.93,96.03,41.88,79,49.02,1,0.044,12,11,163,19.55,3
Yes,Low,28.212721,79.699166,Local Authority,351.7,5.9,133.61,40.06,46.86,27.82,0,0.897,12,1,52,21.23,5
Yes,High,11.996614,68.39183,IMD,306.7,0.27,146.14,16.24,21.86,94.3,1,0.098,13,10,37,1.17,10
Yes,High,21.862662,77.936713,Local Authority,233.5,14.64,148.29,10.1,83.46,23.02,0,0.509,8,0,67,5.58,3
No,High,15.969325,91.498168,Citizen Report,286.96,4.91,143.96,17.52,79.67,40.12,1,0.296,8,7,79,23.22,7
Yes,Low,36.306755,73.888047,NGO Report,12.44,7.66,73.87,43.33,35.85,98.89,1,0.413,16,7,8,13.27,10
No,Moderate,33.903902,76.260755,Local Authority,308.09,12.18,146.03,10.24,72.74,84.37,1,0.497,17,12,159,42.75,2
Yes,Low,15.937904,93.998165,IMD,139.87,9.07,105.17,15.42,23.2,37.2,0,0.08,20,11,51,18.08,8
No,Extreme,31.47912,73.736077,NGO Report,303.9,12.99,56.15,28.27,45.81,19.47,0,0.489,13,8,68,16.04,3
Yes,Extreme,12.5346,78.559403,Citizen Report,148.49,4.78,127.19,32.65,62.31,99.23,1,0.645,20,2,6,44.63,9
No,Moderate,22.753118,92.505842,Satellite,409.12,13.58,22.95,28.66,87.57,46.58,0,0.225,16,6,13,24.6,9
No,Severe,28.72738,93.722569,IMD,110.65,5.15,110.11,25.48,80.01,23.3,0,0.351,17,6,165,1.54,9
Yes,Moderate,9.466042,68.749351,NGO Report,213.66,7.7,17.25,33.91,79.91,31.31,1,0.839,14,9,165,4.98,10
Yes,High,20.235871,90.279654,NGO Report,410.75,2.99,9.71,20.01,26.66,49.14,1,0.935,7,12,161,41.86,5
No,High,33.390886,71.358345,Local Authority,142.67,8.82,121.56,13.04,60.51,37.56,0,0.096,3,11,133,42.05,0
Yes,High,19.140542,78.310365,Satellite,139.95,8.29,18.84,10.35,62.25,53.18,1,0.446,15,1,113,46.96,2
No,Low,19.858596,92.114482,Local Authority,321.03,9.74,59.51,12.65,32.62,32,0,0.384,3,6,157,10.18,9
No,Low,28.964883,84.630255,Satellite,459.88,12.2,82.82,38.99,34.41,66.73,1,0.376,3,5,172,1.03,6
No,Moderate,21.080502,76.227628,Local Authority,493.52,13.12,37.03,31.38,45.64,74.46,1,0.329,0,0,182,47.07,7
Yes,High,31.680416,93.381466,Local Authority,269.43,13.91,52.67,14.88,74.14,14.82,1,0.437,13,13,40,42.5,6
Yes,Moderate,23.51536,77.116178,Local Authority,125.97,12.41,75.66,30.27,40.2,91.89,0,0.642,5,5,194,4.67,5
No,Moderate,29.902076,71.647134,Local Authority,199.09,9.44,2.03,13.17,39.13,95.66,0,0.521,4,7,87,6.7,2
Yes,Extreme,20.717813,95.133316,Citizen Report,228.02,6.96,75.02,34.41,62.85,55.42,1,0.224,14,13,52,3.07,4
Yes,Severe,30.809963,88.078188,NGO Report,334.19,1.06,122.1,19.17,43.66,46.49,1,0.093,19,8,94,12.5,6
Yes,Moderate,14.382106,78.13024,NGO Report,9.35,6.33,146.85,10.17,21.52,85.49,1,0.837,10,11,91,10.42,7
Yes,Extreme,21.808382,73.364157,IMD,306.17,0.71,133.02,25.75,83.57,25.47,0,0.229,6,4,85,44.78,8
Yes,Severe,27.107979,81.375719,NGO Report,438.87,11.68,124.66,13.32,41.24,29.63,0,0.849,6,2,75,4.02,8
No,Moderate,36.385236,87.422178,Local Authority,181.49,5.58,62.61,12.71,21.34,36.48,1,0.091,18,4,185,11.67,8
Yes,Extreme,34.683628,96.972145,IMD,264.27,0.81,119.66,14.74,24.07,50.96,1,0.002,10,8,19,38.25,4
Yes,Severe,23.628101,83.259238,IMD,288.91,8.59,138.35,11.88,53.33,21.07,1,0.971,18,8,174,15.79,1
Yes,High,14.861612,92.302579,IMD,80.32,6.48,42.15,33.48,37.02,96.09,1,0.615,12,9,95,37.39,0
Yes,Extreme,35.305596,78.307256,Citizen Report,93.43,0.3,119.02,27.16,82.02,80.37,1,0.093,4,3,48,25.76,0
Yes,High,21.408737,80.614899,Local Authority,173.91,5.65,94.28,15.22,24.46,45.08,1,0.221,4,8,19,10.55,7
Yes,Severe,10.799808,76.311214,NGO Report,369.15,1.16,61.99,44.19,98.46,19.89,0,0.173,1,7,171,11.53,1
No,Moderate,11.236873,95.740513,IMD,31.15,12.2,4.01,32.71,81.07,37.66,1,0.362,13,5,95,45.63,3
Yes,Severe,30.937421,71.500081,NGO Report,138.82,4.55,60.62,34.83,68.68,44.68,1,0.727,17,6,114,33.41,6
